,Unnamed: 0,Author,Description,ReviewRating,Country,Review_Date,AirCraft,Seat_Type,Route,Date_flown,Type_of_traveller,Seat_Comfort,Cabin_staff_service,Ground_Service,Value_For_Money,Recommended,Food_And_Bevarages,Inflight_Entertainment,Wifi_and_Connectivity
0,0,"['', '4 reviews', '', '', '', 'Mike Flynn']","""Flight attendants welcoming""",7,United Kingdom,3rd April 2024,Boeing 787,Business Class,London Heathrow to Mumbai,March 2024,Business,3.0,5.0,4.0,3,yes,3.0,4.0,
1,1,"['', 'E Dodson']","""the service was appalling""",3,United Kingdom,2nd April 2024,Boeing 777-200,Business Class,Doha to London Heathrow,March 2024,Couple Leisure,3.0,1.0,2.0,1,no,1.0,2.0,1.0
2,2,"['', 'David Williams']","""service was slow and unfriendly""",4,United Kingdom,2nd April 2024,Boeing 777-200,Business Class,Doha to London Heathrow,March 2024,Couple Leisure,5.0,1.0,5.0,3,no,1.0,5.0,1.0
3,3,"['', '11 reviews', '', '', '', 'C Down']","""a really lovely flight"" ",8,United Kingdom,28th March 2024,A350,Business Class,London Heathrow to São Paulo,March 2024,Solo Leisure,4.0,4.0,4.0,4,yes,5.0,5.0,
4,4,"['', 'Robert Walls']","""travelling with British Airways so stressful""",1,United Kingdom,28th March 2024,,Economy Class,London Heathrow to Nice,March 2024,Couple Leisure,4.0,3.0,2.0,1,no,,,
5,5,"['', '3 reviews', '', '', '', 'Troy Robinson']",“didn't find the crew particularly welcoming”,8,United Kingdom,26th March 2024,Boeing 777,Business Class,London to Tokyo,March 2024,Business,5.0,2.0,3.0,4,yes,5.0,5.0,
6,6,"['', '3 reviews', '', '', '', 'R Norton']","""I would say disappointing"" ",5,United Kingdom,26th March 2024,A320,Economy Class,Lisbon to London ,March 2024,Business,4.0,3.0,1.0,3,yes,,,
7,7,"['', '2 reviews', '', '', '', 'Paul Lee']","""Exceptional flight""",10,United Kingdom,25th March 2024,Boeing 777,Business Class,London to Delhi,February 2024,Couple Leisure,5.0,5.0,5.0,5,yes,5.0,5.0,
8,8,"['', '2 reviews', '', '', '', 'Paul Lee']","""Cabin crew attentive and bubbly""",9,United Kingdom,25th March 2024,A320,Economy Class,London to Milan,March 2024,Couple Leisure,5.0,5.0,4.0,5,yes,5.0,,
9,9,"['', 'Peter Buchanan']",“a terrible and unnecessary experience”,3,United Kingdom,25th March 2024,,Economy Class,Madrid to London Heathrow,March 2024,Couple Leisure,3.0,3.0,3.0,2,no,,,
10,10,"['', '4 reviews', '', '', '', 'Michael Powell']","""stick to their cabin bag size limit""",8,United Kingdom,21st March 2024,A320,Economy Class,London Heathrow to Toulouse,March 2024,Solo Leisure,4.0,4.0,3.0,3,yes,,,
11,11,"['', 'N Wardan']","""crew were attentive, friendly""",8,Canada,21st March 2024,Boeing 787-8 /777-200 / A320-200,Economy Class,Montreal to Venice via London Heathrow,March 2024,Family Leisure,4.0,5.0,3.0,4,yes,5.0,4.0,
12,12,"['', 'Solomon Pachtinger']","""Utterly outrageous""",3,United Kingdom,19th March 2024,A321,Business Class,Paphos to London,March 2024,Business,2.0,1.0,1.0,1,no,2.0,1.0,2.0
13,13,"['', 'Paul Roberts']","""They have a long way to go"" ",3,Singapore,19th March 2024,Boeing 777-300,Business Class,London to Houston,March 2024,Business,1.0,3.0,1.0,1,no,3.0,2.0,2.0
14,14,"['', '42 reviews', '', '', '', 'E Carmere']","""FA's were friendly""",7,Belgium,14th March 2024,A320,Business Class,London Heathrow to Brussels,March 2024,Solo Leisure,2.0,4.0,3.0,3,yes,3.0,,
15,15,"['', '42 reviews', '', '', '', 'E Carmere']","""Far from pleasant experience""",3,Belgium,14th March 2024,Boeing 777,Business Class,Barbados to London heathrow,March 2024,Solo Leisure,3.0,3.0,1.0,2,no,2.0,2.0,
16,16,"['', 'P Marten']","""cancelled our return flight"" ",1,Canada,12th March 2024,,Economy Class,Toronto to Mumbai via London ,February 2024,Family Leisure,2.0,1.0,1.0,1,no,2.0,,
17,17,"['', 'S Mahoney']","""KLM is definitely a league over BA""",7,Denmark,11th March 2024,,Economy Class,Copenhagen to Port of Spain via London,February 2024,Family Leisure,3.0,4.0,2.0,5,yes,1.0,,
18,18,"['', 'Frank Fehle']","""Service extremely inattentive"" ",1,United Kingdom,10th March 2024,Boeing 777-300ER,First Class,Los Angeles to London ,March 2024,Solo Leisure,2.0,1.0,3.0,1,no,1.0,,3.0
19,19,"['', 'I Carsen']","""worst business class experience""",3,Australia,5th March 2024,Boeing 777-300,Business Class,Singapore to Sydney,March 2024,Business,1.0,1.0,3.0,2,no,2.0,2.0,
20,20,"['', 'L Kelly']","""it's truly awful for short-haul""",1,Canada,4th March 2024,,Business Class,Cyprus to London,February 2024,Business,1.0,3.0,3.0,1,no,,1.0,1.0
21,21,"['', 'Jana Chua']","""never be flying with BA again""",1,Singapore,4th March 2024,,Economy Class,Singapore to Auckland via Sydney,March 2024,Solo Leisure,2.0,3.0,1.0,1,no,3.0,3.0,1.0
22,22,"['', 'E Gayerlo']","""it was extremely underwhelming""",3,United Kingdom,4th March 2024,Boeing 787,Business Class,London Heathrow to Mexico City,March 2024,Couple Leisure,2.0,2.0,2.0,1,no,1.0,2.0,1.0
23,23,"['', 'T Collins']","""an excellent experience"" ",10,United Kingdom,2nd March 2024,A319,Business Class,Heathrow to Oslo,February 2024,Solo Leisure,4.0,5.0,5.0,5,yes,5.0,,
24,24,"['', 'Armando Castro']","""they refused to fly me back!",1,Australia,1st March 2024,,Economy Class,Sydney to Porto via Singapore / London,June 2023,Solo Leisure,,,,1,no,,,
25,25,"['', 'Simon Channon']","""Poor from start to finish""",3,United Kingdom,29th February 2024,A320,Economy Class,London Heathrow to Lisbon,February 2024,Couple Leisure,1.0,3.0,2.0,3,no,1.0,,
26,26,"['', 'C Allen']",“customer service non existent”,2,United Kingdom,29th February 2024,A320,Premium Economy,Madrid to London via Buenos Aires,February 2024,Solo Leisure,1.0,3.0,1.0,1,no,,,
27,27,"['', 'Peter Hansell']","""no better than the worst of the low cost""",1,United Kingdom,23rd February 2024,,Economy Class,Pisa to London Heathrow,September 2023,Couple Leisure,,,,1,no,,,
28,28,"['', 'Caleb Lowe']","""could not have been better""",10,United Kingdom,21st February 2024,A320,Business Class,Malaga to London Heathrow,February 2024,Couple Leisure,5.0,5.0,4.0,4,yes,5.0,,
29,29,"['', 'Kevin Statham']","""Never again""",3,United States,17th February 2024,A350,Economy Class,Phoenix to Lisbon via London,February 2024,Couple Leisure,1.0,5.0,1.0,1,no,3.0,3.0,1.0
30,30,"['', 'C Horton']","""Is this how low BA has fallen?"" ",3,United Kingdom,17th February 2024,A320,Economy Class,London to Istanbul ,February 2024,Solo Leisure,3.0,1.0,2.0,2,no,1.0,,
31,31,"['', 'Anthony C Gallagher']",“It was a terrible experience”,2,United States,16th February 2024,Boeing 777,Premium Economy,"Austin, TX to Shannon, Ireland via Austin",January 2024,Solo Leisure,3.0,5.0,4.0,2,no,3.0,3.0,
32,32,"['', 'S Jackson']","""all needs a serious rework""",5,United States,11th February 2024,A380,First Class,London to San Francisco,November 2023,Solo Leisure,1.0,4.0,4.0,1,no,1.0,,2.0
33,33,"['', 'Michael Gardiner']","""flights they have not actually provided""",1,United Kingdom,8th February 2024,,Economy Class,London Heathrow to Casablanca,February 2024,Couple Leisure,,,1.0,1,no,,,
34,34,"['', 'Philip Agbese ']",“meticulous attention to detail”,8,Nigeria,6th February 2024,,Premium Economy,London Heathrow to Glasgow,January 2024,Family Leisure,4.0,3.0,5.0,4,yes,,,
35,35,"['', 'Stephen Blakey']",“they have ignored every communication”,1,United Kingdom,5th February 2024,,Economy Class,London Heathrow to Berlin,October 2023,Couple Leisure,1.0,1.0,1.0,1,no,,,
36,36,"['', 'John Prescott']","""fabulous cabin crew""",6,United Kingdom,2nd February 2024,A380-800,Business Class,London to Miami,February 2024,Couple Leisure,3.0,4.0,2.0,3,no,4.0,3.0,
37,37,"['', 'Makoto Hashimoto']","""no great expectations"" ",9,Japan,30th January 2024,,Business Class,Athens to London ,December 2023,Solo Leisure,3.0,5.0,4.0,4,yes,5.0,,3.0
38,38,"['', 'Clarke Roper']","""actively try and split families up""",8,United Kingdom,29th January 2024,Boeing 777-200,Premium Economy,London Gatwick to Cancun,January 2024,Family Leisure,4.0,4.0,1.0,4,yes,4.0,4.0,4.0
39,39,"['', 'Mariia Volkovq']","""my cabin luggage was taken""",3,Ukraine,28th January 2024,,Economy Class,London to Warsaw,January 2024,Business,3.0,3.0,1.0,3,yes,3.0,2.0,3.0
40,40,"['', 'M Baker']",“appalling service”,2,United Kingdom,26th January 2024,,Business Class,London Heathrow to Miami,December 2023,Family Leisure,2.0,1.0,3.0,2,no,2.0,2.0,
41,41,"['', 'Chirag Thummar']",“Worst service ever”,1,Germany,23rd January 2024,,Economy Class,Boston to Düsseldorf via London,January 2024,Solo Leisure,1.0,2.0,1.0,1,no,1.0,1.0,
42,42,"['', 'D Carreno ']","""unprofessional attitude of the pilots"" ",6,United Kingdom,21st January 2024,A350,Economy Class,Sao Paulo to London Heathrow,January 2024,Business,3.0,4.0,3.0,3,no,3.0,3.0,3.0
43,43,"['', 'Simon Channon']",“Next time it will be Jet2”,3,United Kingdom,18th January 2024,A320,Economy Class,London Heathrow to Lisbon,January 2024,Couple Leisure,1.0,4.0,3.0,4,no,1.0,,
44,44,"['', 'Melissa Harris']",“become the Ryanair of long-haul travel”,2,United Kingdom,18th January 2024,,Economy Class,London to Hong Kong ,January 2024,Family Leisure,1.0,3.0,1.0,2,no,1.0,1.0,1.0
45,45,"['', 'Ivana Squassabia']",“They never help us”,1,Germany,17th January 2024,,Business Class,Dusseldorf (DUS) to Miami (MIA) ,January 2024,Family Leisure,1.0,1.0,1.0,1,no,,,
46,46,"['', 'Fady Magdy']",“uncomfortable seat and disgusting food”,1,United Kingdom,16th January 2024,,Business Class,Cairo to London Heathrow,January 2024,Family Leisure,1.0,1.0,1.0,1,no,1.0,,
47,47,"['', 'A Karsin']","""Zero customer service""",1,Ireland,15th January 2024,,Economy Class,Dublin  to London Heathrow,January 2024,Family Leisure,3.0,3.0,1.0,3,no,,,1.0
48,48,"['', 'Muhammad Yasin']","""baggage arrival nearly took 1.5 hours"" ",4,United Kingdom,12th January 2024,,Economy Class,Glasgow to London,January 2024,Business,3.0,4.0,4.0,3,no,,,
49,49,"['', 'S Keane']","""Overall very satisfied""",9,United Kingdom,12th January 2024,A350-1000,Economy Class,Vancouver to London,January 2024,Solo Leisure,4.0,5.0,5.0,5,yes,3.0,4.0,4.0
50,50,"['', 'Neil Jones']","""airline is a total disgrace"" ",1,Spain,9th January 2024,A320,Business Class,Heathrow to Madrid,October 2023,Business,1.0,1.0,1.0,1,no,1.0,1.0,1.0
51,51,"['', 'R Dayle']","""we were pleased with the service""",9,United Kingdom,7th January 2024,Boeing 777 -200,Business Class,London to New York,November 2023,Couple Leisure,5.0,5.0,5.0,4,yes,5.0,5.0,
52,52,"['', 'K Higgins']","""Gate agent was extremely rude""",6,United States,3rd January 2024,,Economy Class,Rome to London,January 2024,Family Leisure,4.0,5.0,1.0,2,no,4.0,,
53,53,"['', 'E Gan']","""incredibly heartless and incompetent company""",1,China,2nd January 2024,,Business Class,Gatwick to Geneva,December 2023,Family Leisure,2.0,1.0,1.0,1,no,1.0,1.0,1.0
